time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-05T14:27:15.985Z,38.9495,-118.1443,10.4,3.2,ml,71,69.91,0.105,0.2516,nn,nn00517795,2015-11-05T14:58:40.963Z,"21km WNW of Gabbs, Nevada",earthquake
2015-11-05T14:27:11.620Z,19.4298325,-155.6105042,2.51,2.87,ml,51,46,0.02307,0.37,hv,hv61091321,2015-11-05T14:33:34.695Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-11-05T14:01:09.000Z,19.4981,-66.1313,66,3.4,Md,15,262.8,1.08246992,0.55,pr,pr15309003,2015-11-05T14:33:55.815Z,"114km N of San Juan, Puerto Rico",earthquake
2015-11-05T13:55:54.910Z,36.0175,-117.7776667,-0.03,1.14,ml,17,151,0.07532,0.25,ci,ci37485744,2015-11-05T14:02:23.019Z,"15km NE of Little Lake, California",earthquake
2015-11-05T13:08:22.384Z,41.862,-119.615,8.6,1.3,ml,6,209.07,0.162,0.2009,nn,nn00517792,2015-11-05T14:34:30.289Z,"70km ESE of Lakeview, Oregon",earthquake
2015-11-05T12:46:19.560Z,33.4696667,-116.4828333,15.56,0.62,ml,16,123,0.07177,0.29,ci,ci37485728,2015-11-05T14:02:42.934Z,"20km ESE of Anza, California",earthquake
2015-11-05T12:42:37.038Z,41.8619,-119.5995,6.6,1.4,ml,7,193.79,0.172,0.1875,nn,nn00517791,2015-11-05T14:34:28.399Z,"71km ESE of Lakeview, Oregon",earthquake
2015-11-05T12:40:10.170Z,35.4978333,-118.3126667,0.29,1.02,ml,15,73,0.1458,0.14,ci,ci37485720,2015-11-05T14:03:00.707Z,"19km ESE of Bodfish, California",earthquake
2015-11-05T12:29:23.310Z,33.3096667,-116.3051667,10.53,0.78,ml,23,145,0.1025,0.24,ci,ci37485712,2015-11-05T12:35:14.998Z,"9km NE of Borrego Springs, California",earthquake
2015-11-05T12:22:31.160Z,37.2477,-115.0993,7,1.8,ml,12,181.62,0.175,,nn,nn00517790,2015-11-05T12:24:03.975Z,"14km SSE of Alamo, Nevada",earthquake
2015-11-05T12:22:15.300Z,33.7031667,-116.7293333,18.32,1.37,ml,54,22,0.01817,0.19,ci,ci37485704,2015-11-05T14:05:05.340Z,"4km SSW of Idyllwild, California",earthquake
2015-11-05T12:03:35.350Z,33.1803333,-116.0021667,3.76,1.18,ml,27,61,0.1634,0.29,ci,ci37485696,2015-11-05T14:03:51.525Z,"13km ENE of Ocotillo Wells, California",earthquake
2015-11-05T12:01:33.660Z,33.182,-116.01,2.51,2.41,ml,61,31,0.1701,0.23,ci,ci37485688,2015-11-05T12:23:25.620Z,"12km ENE of Ocotillo Wells, California",earthquake
2015-11-05T11:59:37.180Z,34.344,-118.4781667,7.29,1.25,ml,16,117,0.03947,0.28,ci,ci37485680,2015-11-05T12:04:14.771Z,"8km NNW of Pacoima, California",earthquake
2015-11-05T11:55:52.000Z,61.5576,-146.4299,36.2,1.4,ml,,,,0.33,ak,ak11773873,2015-11-05T12:09:39.502Z,"47km N of Valdez, Alaska",earthquake
2015-11-05T11:52:59.280Z,39.7721672,-124.0391693,2.72,1.79,md,7,190,0.2925,0.02,nc,nc72548690,2015-11-05T11:54:36.860Z,"41km NNW of Fort Bragg, California",earthquake
2015-11-05T11:52:49.750Z,4.7998,123.0314,565.21,4.6,mb,,57,3.392,0.65,us,us10003uv8,2015-11-05T12:37:14.644Z,"185km SE of Tabiauan, Philippines",earthquake
2015-11-05T11:52:41.160Z,33.5183333,-116.4348333,10.7,0.61,ml,19,105,0.08932,0.19,ci,ci37485672,2015-11-05T14:04:24.484Z,"20km SW of La Quinta, California",earthquake
2015-11-05T11:45:32.500Z,33.4788333,-116.4795,11.55,0.83,ml,30,81,0.06322,0.18,ci,ci37485664,2015-11-05T14:04:28.581Z,"20km ESE of Anza, California",earthquake
2015-11-05T11:44:28.430Z,46.2556648,-122.0578308,12.11,1.08,md,24,69,0.05678,0.13,uw,uw61101986,2015-11-05T11:47:13.390Z,"37km SSE of Morton, Washington",earthquake
